# ::snt dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::tok dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::alignments 25-26|0.0.1.0.1 23-24|0.0.1.0.0+0.0.1.0 21-22|0.0.1 20-21|0.3.0.0 17-18|0.3.0 16-17|0.3 11-12|0.1 9-10|0.1.0 6-7|0.0.0+0.0 5-6|0.0.3 4-5|0.0.2 3-4|0 2-3|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:38.327
# ::node	0	accuse-01	3-4
# ::node	0.0	person	6-7
# ::node	0.0.0	serve-02	6-7
# ::node	0.0.1	arrest-01	21-22
# ::node	0.0.1.0	have-org-role-91	23-24
# ::node	0.0.1.0.0	official	23-24
# ::node	0.0.1.0.1	north	25-26
# ::node	0.0.2	senior	4-5
# ::node	0.0.3	civil	5-6
# ::node	0.1	plot-01	11-12
# ::node	0.1.0	north	9-10
# ::node	0.2	also	2-3
# ::node	0.3	and	16-17
# ::node	0.3.0	encourage-01	17-18
# ::node	0.3.0.0	and	20-21
# ::root	0	accuse-01
# ::edge	accuse-01	ARG1	person	0	0.0	
# ::edge	accuse-01	ARG2	plot-01	0	0.1	
# ::edge	accuse-01	mod	also	0	0.2	
# ::edge	and	op1	accuse-01	0.3	0	
# ::edge	arrest-01	ARG1	person	0.0.1	0.0	
# ::edge	arrest-01	time	have-org-role-91	0.0.1	0.0.1.0	
# ::edge	encourage-01	ARG1	and	0.3.0	0.3.0.0	
# ::edge	encourage-01	ARG2	and	0.3.0	0.3	
# ::edge	have-org-role-91	ARG2	official	0.0.1.0	0.0.1.0.0	
# ::edge	have-org-role-91	location	north	0.0.1.0	0.0.1.0.1	
# ::edge	person	mod	civil	0.0	0.0.3	
# ::edge	person	mod	senior	0.0	0.0.2	
# ::edge	plot-01	ARG0	north	0.1	0.1.0	
# ::edge	serve-02	ARG0	person	0.0.0	0.0	
(a4 / accuse-01 
# ::alignments 35-36|0.0.0.0.1.2 34-35|0.0.0.0.1.1+0.0.0.0.1 31-32|0 28-29|0.0.0.0.0.1+0.0.0.0.0 27-28|0.0.0.0.3+0.0.0.0 25-26|0.0+0.0.0 22-23|0.0.0.0.1.0.0.0+0.0.0.0.1.0.0 21-22|0.0.0.0.1.0 20-21|0.0.0.0.1.0.1 19-20|0.0.0.0.2.0.0.2.0.0 14-15|0.0.0.0.2.0.0.0 12-13|0.0.0.0.2.0 11-12|0.0.0.0.2 9-10|0.0.0.0.2.0.0 8-9|0.0.0.0.2.0.0.1 7-8|0.0.0.0.2.0.0.2 5-6|0.0.0.0.0.0 3-4|0.0.0.0.2.0.0.2.0 2-3|0.0.0.0.2.0.0.2.0.1 1-2|0.0.0.0.2.0.0.2.0.1.0 0-1|0.0.0.0.2.0.0.2.0.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:53.361
# ::node	0	and	31-32
# ::node	0.0	chief	25-26
# ::node	0.0.0	have-org-role-91	25-26
# ::node	0.0.0.0	person	27-28
# ::node	0.0.0.0.0	have-org-role-91	28-29
# ::node	0.0.0.0.0.0	politics	5-6
# ::node	0.0.0.0.0.1	colonel	28-29
# ::node	0.0.0.0.1	have-org-role-91	34-35
# ::node	0.0.0.0.1.0	military	21-22
# ::node	0.0.0.0.1.0.0	have-org-role-91	22-23
# ::node	0.0.0.0.1.0.0.0	officer	22-23
# ::node	0.0.0.0.1.0.1	top	20-21
# ::node	0.0.0.0.1.1	chief	34-35
# ::node	0.0.0.0.1.2	general	35-36
# ::node	0.0.0.0.2	wound-01	11-12
# ::node	0.0.0.0.2.0	guerrilla	12-13
# ::node	0.0.0.0.2.0.0	treat-03	9-10
# ::node	0.0.0.0.2.0.0.0	well	14-15
# ::node	0.0.0.0.2.0.0.1	medicine	8-9
# ::node	0.0.0.0.2.0.0.2	and	7-8
# ::node	0.0.0.0.2.0.0.2.0	free-41	3-4
# ::node	0.0.0.0.2.0.0.2.0.0	7	19-20
# ::node	0.0.0.0.2.0.0.2.0.1	demand-01	2-3
# ::node	0.0.0.0.2.0.0.2.0.1.0	clause	1-2
# ::node	0.0.0.0.2.0.0.2.0.1.0.0	other	0-1
# ::node	0.0.0.0.3	staff-01	27-28
# ::root	0	and
(a / and 
      :poss-of (c3 / chief 
            :ARG2-of (h3 / have-org-role-91 
                  :ARG0 (p / person 
                        :ARG0-of (h2 / have-org-role-91 
                              :ARG1 (p2 / politics) 
                              :ARG2 (c2 / colonel)) 
                        :ARG0-of (h / have-org-role-91 
                              :ARG1 (m / military 
                                    :ARG1-of (h4 / have-org-role-91 
                                          :ARG2 (o / officer)) 
                                    :mod (t / top)) 
                              :ARG2 (c / chief) 
                              :time (g / general)) 
                        :ARG1-of (w2 / wound-01 
                              :mod-of (g2 / guerrilla 
                                    :ARG0-of (t2 / treat-03 
                                          :ARG1 (w / well) 
                                          :ARG3 (m2 / medicine) 
                                          :op-of (a2 / and 
                                                :op1 (f / free-41 
                                                      :ARG0 7 
                                                      :ARG1-of (d / demand-01 
                                                            :ARG0 (c4 / clause 
                                                                  :mod (o2 / other)))))))) 
                        :ARG2-of (s / staff-01)))))

# ::snt there are things biodegrading up there in black sacks whose labels if they ever had them have disintegrated
# ::tok there are things biodegrading up there in black sacks whose labels if they ever had them have disintegrated
# ::alignments 17-18|0 13-14|0.1.2 12-13|0.0 10-11|0.1 7-8|0.1.1 2-3|0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:53.415
# ::node	0	disintegrate-01	17-18
# ::node	0.0	they	12-13
# ::node	0.1	label-01	10-11
# ::node	0.1.0	thing	2-3
# ::node	0.1.1	black	7-8
# ::node	0.1.2	ever	13-14
# ::root	0	disintegrate-01
# ::edge	disintegrate-01	ARG0	they	0	0.0	
# ::edge	disintegrate-01	ARG1	label-01	0	0.1	
# ::edge	label-01	ARG0	thing	0.1	0.1.0	
# ::edge	label-01	ARG1	black	0.1	0.1.1	
# ::edge	label-01	location	ever	0.1	0.1.2	
(d / disintegrate-01 
      :ARG0 (t / they) 
      :ARG1 (l / label-01 
            :ARG0 (t2 / thing) 
            :ARG1 (b / black) 
            :location (e / ever)))

# ::snt the newspaper gave no reason for the sacking and a union official said it was a normal personnel change
# ::tok the newspaper gave no reason for the sacking and a union official said it was a normal personnel change
# ::alignments 18-19|0.1 17-18|0.1.0 16-17|0.1.2 13-14|0.1.1 12-13|0 11-12|0.2.1+0.2 10-11|0.2.0 8-9|0.0.0 4-5|0.0 3-4|0.0.1 1-2|0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:53.663
# ::node	0	say-01	12-13
# ::node	0.0	reason	4-5
# ::node	0.0.0	and	8-9
# ::node	0.0.0.0	newspaper	1-2
# ::node	0.0.1	-	3-4
# ::node	0.1	change-01	18-19
# ::node	0.1.0	personnel	17-18
# ::node	0.1.1	it	13-14
# ::node	0.1.2	normal	16-17
# ::node	0.2	have-org-role-91	11-12
# ::node	0.2.0	union	10-11
# ::node	0.2.1	official	11-12
# ::root	0	say-01
# ::edge	and	op1	newspaper	0.0.0	0.0.0.0	
# ::edge	and	op2	reason	0.0.0	0.0	
# ::edge	change-01	ARG1	personnel	0.1	0.1.0	
# ::edge	change-01	domain	it	0.1	0.1.1	
# ::edge	change-01	mod	normal	0.1	0.1.2	
# ::edge	have-org-role-91	ARG1	union	0.2	0.2.0	
# ::edge	have-org-role-91	ARG2	official	0.2	0.2.1	
# ::edge	reason	polarity	-	0.0	0.0.1	
# ::edge	say-01	ARG0	reason	0	0.0	
# ::edge	say-01	ARG1	change-01	0	0.1	
# ::edge	say-01	time	have-org-role-91	0	0.2	
(s / say-01 
      :ARG0 (r / reason 
            :op-of (a / and 
                  :op1 (n2 / newspaper)) 
            :polarity (- / -)) 
      :ARG1 (c / change-01 
            :ARG1 (p / personnel) 
            :domain (i / it) 
            :mod (n / normal)) 
      :time (h / have-org-role-91 
            :ARG1 (u / union) 
            :ARG2 (o / official)))

# ::snt the meal queue winds its way around the upper deck between trunks sacks of salt and dozing traders
# ::tok the meal queue winds its way around the upper deck between trunks sacks of salt and dozing traders
# ::alignments 15-16|0 14-15|0.1 10-11|0.0.1 8-9|0.0.2.0.0 6-7|0.0.0 5-6|0.0 3-4|0.0.2 1-2|0.0.2.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:53.705
# ::node	0	and	15-16
# ::node	0.0	way	5-6
# ::node	0.0.0	around	6-7
# ::node	0.0.1	between	10-11
# ::node	0.0.2	wind	3-4
# ::node	0.0.2.0	meal	1-2
# ::node	0.0.2.0.0	upper	8-9
# ::node	0.1	salt	14-15
# ::root	0	and
# ::edge	and	op1	salt	0	0.1	
# ::edge	meal	mod	upper	0.0.2.0	0.0.2.0.0	
# ::edge	way	domain	and	0.0	0	
# ::edge	way	location	around	0.0	0.0.0	
# ::edge	way	location	between	0.0	0.0.1	
# ::edge	wind	mod	meal	0.0.2	0.0.2.0	
# ::edge	wind	name	way	0.0.2	0.0	
(a / and 
      :domain-of (w / way 
            :location (a2 / around) 
            :location (b / between) 
            :name-of (w2 / wind 
                  :mod (m / meal 
                        :mod (u / upper)))) 
      :op1 (s / salt))

# ::snt woodstock brownies and under fives association joined dr roberts and ten town councillors to fill a plentiful supplu of green sacks
# ::tok woodstock brownies and under fives association joined dr roberts and ten town councillors to fill a plentiful supplu of green sacks
# ::alignments 19-20|0 14-15|0.0.0.2 11-12|0.0.0.2.0 9-10|0.0.0.0 6-7|0.0.0 5-6|0.0 2-3|0.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:53.771
# ::node	0	green	19-20
# ::node	0.0	associate-01	5-6
# ::node	0.0.0	join-01	6-7
# ::node	0.0.0.0	and	9-10
# ::node	0.0.0.1	and	2-3
# ::node	0.0.0.2	fill-02	14-15
# ::node	0.0.0.2.0	town	11-12
# ::root	0	green
(g / green 
      :ARG1-of (a2 / associate-01 
            :ARG0-of (j / join-01 
                  :ARG1 (a / and) 
                  :op-of (a3 / and) 
                  :purpose (f / fill-02 
                        :ARG0 (t / town)))))

# ::snt she was struggling up bent under a heavy sack
# ::tok she was struggling up bent under a heavy sack
# ::alignments 7-8|0.0.0 2-3|0 0-1|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:53.780
# ::node	0	struggle-02	2-3
# ::node	0.0	she	0-1
# ::node	0.0.0	heavy	7-8
# ::root	0	struggle-02
# ::edge	heavy	domain	she	0.0.0	0.0	
# ::edge	struggle-02	ARG0	she	0	0.0	
(s / struggle-02 
      :ARG0 (s2 / she 
            :domain-of (h / heavy)))

# ::snt   and in the meadow a team of boy scouts walked in line up and down picking up the last of the litter and dropping it straight into paper sacks
# ::tok and in the meadow a team of boy scouts walked in line up and down picking up the last of the litter and dropping it straight into paper sacks
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:53.780
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt journalists at argumenty i fakty said yesterday they would go on strike if their editor vladislav starkov under renewed threat of the sack was not reinstated by next week writes mary ellen barton
# ::tok journalists at argumenty i fakty said yesterday they would go on strike if their editor vladislav starkov under renewed threat of the sack was not reinstated by next week writes mary ellen barton
# ::alignments 29-30|0.0.0.1 28-29|0.0.0.1.0 27-28|0.0.0.1.0.0 19-20|0.0.0.0.0 18-19|0.0.0.0 14-15|0.0.0.2 11-12|0.0.0 7-8|0.0 6-7|0.3 5-6|0 2-5|0.2.0.0+0.2.0.1+0.2.0.2+0.2.0+0.2 0-1|0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:54.150
# ::node	0	say-01	5-6
# ::node	0.0	they	7-8
# ::node	0.0.0	strike-01	11-12
# ::node	0.0.0.0	renew-01	18-19
# ::node	0.0.0.0.0	threaten-01	19-20
# ::node	0.0.0.1	write-01	29-30
# ::node	0.0.0.1.0	week	28-29
# ::node	0.0.0.1.0.0	next	27-28
# ::node	0.0.0.2	editor	14-15
# ::node	0.1	journalist	0-1
# ::node	0.2	organization	2-5
# ::node	0.2.0	name	2-5
# ::node	0.2.0.0	"fakty"	2-5
# ::node	0.2.0.1	"i"	2-5
# ::node	0.2.0.2	"argumenty"	2-5
# ::node	0.3	yesterday	6-7
# ::root	0	say-01
# ::edge	name	op1	"fakty"	0.2.0	0.2.0.0	
# ::edge	name	op2	"i"	0.2.0	0.2.0.1	
# ::edge	name	op3	"argumenty"	0.2.0	0.2.0.2	
# ::edge	organization	name	name	0.2	0.2.0	
# ::edge	renew-01	ARG1	threaten-01	0.0.0.0	0.0.0.0.0	
# ::edge	say-01	ARG0	they	0	0.0	
# ::edge	say-01	ARG1	journalist	0	0.1	
# ::edge	say-01	manner	organization	0	0.2	
# ::edge	say-01	time	yesterday	0	0.3	
# ::edge	strike-01	ARG0	they	0.0.0	0.0	
# ::edge	strike-01	ARG1	renew-01	0.0.0	0.0.0.0	
# ::edge	strike-01	ARG2	editor	0.0.0	0.0.0.2	
# ::edge	week	mod	next	0.0.0.1.0	0.0.0.1.0.0	
# ::edge	write-01	ARG0	week	0.0.0.1	0.0.0.1.0	
# ::edge	write-01	ARG1	strike-01	0.0.0.1	0.0.0	
(s2 / say-01 
      :ARG0 (t2 / they 
            :ARG0-of (s / strike-01 
                  :ARG1 (r / renew-01 
                        :ARG1 (t / threaten-01)) 
                  :ARG1-of (w / write-01 
                        :ARG0 (w2 / week 
                              :mod (n / next))) 
                  :ARG2 (e / editor))) 
      :ARG1 (j / journalist) 
      :manner (o / organization 
            :name (n2 / name 
                  :op1 "fakty" 
                  :op2 "i" 
                  :op3 "argumenty")) 
      :time (y / yesterday))

# ::snt   actually it turned out to be disappointingly little a burst sack or so and one of the steps of the ladder broken away at one side
# ::tok actually it turned out to be disappointingly little a burst sack or so and one of the steps of the ladder broken away at one side
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:54.150
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt john deehan who lost his coaching job at manchester city after the sacking of mel machin will be his assistant
# ::tok john deehan who lost his coaching job at manchester city after the sacking of mel machin will be his assistant
# ::alignments 19-20|0.1.0 10-11|0.2 9-10|0.1 8-9|0.1.1.0.0+0.1.1.0+0.1.1 6-7|0.0 3-4|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:54.183
# ::node	0	lose-02	3-4
# ::node	0.0	job	6-7
# ::node	0.1	city	9-10
# ::node	0.1.0	assist-01	19-20
# ::node	0.1.1	city	8-9
# ::node	0.1.1.0	name	8-9
# ::node	0.1.1.0.0	"Manchester"	8-9
# ::node	0.2	after	10-11
# ::root	0	lose-02
# ::edge	assist-01	ARG1	city	0.1.0	0.1	
# ::edge	city	location	city	0.1	0.1.1	
# ::edge	city	name	name	0.1.1	0.1.1.0	
# ::edge	lose-02	ARG1	job	0	0.0	
# ::edge	lose-02	location	city	0	0.1	
# ::edge	lose-02	time	after	0	0.2	
# ::edge	name	op1	"Manchester"	0.1.1.0	0.1.1.0.0	
(l / lose-02 
      :ARG1 (j / job) 
      :location (c / city 
            :ARG1-of (a / assist-01) 
            :location (c2 / city 
                  :name (n / name 
                        :op1 "Manchester"))) 
      :time (a2 / after))

# ::snt lorry drivers have been threatened with instant sacking if they dont go through
# ::tok lorry drivers have been threatened with instant sacking if they dont go through
# ::alignments 9-10|0.2 6-7|0.0 4-5|0 1-2|0.1.0+0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:54.238
# ::node	0	threaten-01	4-5
# ::node	0.0	instant	6-7
# ::node	0.1	person	1-2
# ::node	0.1.0	drive-01	1-2
# ::node	0.2	they	9-10
# ::root	0	threaten-01
# ::edge	drive-01	ARG0	person	0.1.0	0.1	
# ::edge	threaten-01	ARG0	instant	0	0.0	
# ::edge	threaten-01	ARG1	person	0	0.1	
# ::edge	threaten-01	ARG2	they	0	0.2	
(t2 / threaten-01 
      :ARG0 (i / instant) 
      :ARG1 (p / person 
            :ARG0-of (d / drive-01)) 
      :ARG2 (t / they))

# ::snt a judge has drawn parallels with nazi germany in considering an appeal against the sacking of university lecturers against the background of tory education policy
# ::tok a judge has drawn parallels with nazi germany in considering an appeal against the sacking of university lecturers against the background of tory education policy
# ::alignments 24-25|0.0.0.1 23-24|0.0.0 22-23|0.0.0.1.0.0.0+0.0.0.1.0.0+0.0.0.1.0 20-21|0.0.0.1.1 16-17|0.1.0.0 11-12|0.1.0 9-10|0.1 6-7|0.0.0.0 4-5|0 1-2|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:54.345
# ::node	0	parallel-01	4-5
# ::node	0.0	judge-01	1-2
# ::node	0.0.0	educate-01	23-24
# ::node	0.0.0.0	nazi	6-7
# ::node	0.0.0.1	policy	24-25
# ::node	0.0.0.1.0	political-party	22-23
# ::node	0.0.0.1.0.0	name	22-23
# ::node	0.0.0.1.0.0.0	"Tory"	22-23
# ::node	0.0.0.1.1	background	20-21
# ::node	0.1	consider-02	9-10
# ::node	0.1.0	appeal-02	11-12
# ::node	0.1.0.0	university	16-17
# ::root	0	parallel-01
# ::edge	appeal-02	ARG1	university	0.1.0	0.1.0.0	
# ::edge	background	poss	policy	0.0.0.1.1	0.0.0.1	
# ::edge	consider-02	ARG1	appeal-02	0.1	0.1.0	
# ::edge	educate-01	ARG0	nazi	0.0.0	0.0.0.0	
# ::edge	educate-01	ARG2	judge-01	0.0.0	0.0	
# ::edge	name	op1	"Tory"	0.0.0.1.0.0	0.0.0.1.0.0.0	
# ::edge	parallel-01	ARG1	judge-01	0	0.0	
# ::edge	parallel-01	ARG3	consider-02	0	0.1	
# ::edge	policy	mod	political-party	0.0.0.1	0.0.0.1.0	
# ::edge	policy	topic	educate-01	0.0.0.1	0.0.0	
# ::edge	political-party	name	name	0.0.0.1.0	0.0.0.1.0.0	
(p3 / parallel-01 
      :ARG1 (j / judge-01 
            :ARG2-of (e / educate-01 
                  :ARG0 (n2 / nazi) 
                  :topic-of (p / policy 
                        :mod (p2 / political-party 
                              :name (n / name 
                                    :op1 "Tory")) 
                        :poss-of (b / background)))) 
      :ARG3 (c / consider-02 
            :ARG1 (a / appeal-02 
                  :ARG1 (u / university))))

# ::snt mel machin on his sacking by manchester city
# ::tok mel machin on his sacking by manchester city
# ::alignments 7-8|0 6-7|0.0.0.0+0.0.0+0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:54.354
# ::node	0	city	7-8
# ::node	0.0	city	6-7
# ::node	0.0.0	name	6-7
# ::node	0.0.0.0	"Manchester"	6-7
# ::root	0	city
# ::edge	city	location	city	0	0.0	
# ::edge	city	name	name	0.0	0.0.0	
# ::edge	name	op1	"Manchester"	0.0.0	0.0.0.0	
(c / city 
      :location (c2 / city 
            :name (n / name 
                  :op1 "Manchester")))

# ::snt when mr smith arrived he told demonstrators that he condemned the sacking of the nuj members and called for their reinstatement
# ::tok when mr smith arrived he told demonstrators that he condemned the sacking of the nuj members and called for their reinstatement
# ::alignments 20-21|0 16-17|0.0.1 15-16|0.0.0.0.0+0.0.0.0 9-10|0.0 8-9|0.0.0 6-7|0.0.1.0.2.0+0.0.1.0.2 5-6|0.0.1.0 4-5|0.0.1.0.0 3-4|0.0.1.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:54.599
# ::node	0	reinstate-01	20-21
# ::node	0.0	condemn-01	9-10
# ::node	0.0.0	he	8-9
# ::node	0.0.0.0	have-org-role-91	15-16
# ::node	0.0.0.0.0	member	15-16
# ::node	0.0.1	and	16-17
# ::node	0.0.1.0	tell-01	5-6
# ::node	0.0.1.0.0	he	4-5
# ::node	0.0.1.0.1	arrive-01	3-4
# ::node	0.0.1.0.2	person	6-7
# ::node	0.0.1.0.2.0	demonstrate-01	6-7
# ::root	0	reinstate-01
(r / reinstate-01 
      :ARG1-of (c / condemn-01 
            :ARG0 (h2 / he 
                  :ARG0-of (h / have-org-role-91 
                        :ARG2 (m / member))) 
            :op-of (a / and 
                  :ARG1-of (t / tell-01 
                        :ARG0 (h3 / he) 
                        :ARG1-of (a2 / arrive-01) 
                        :ARG2 (p / person 
                              :ARG0-of (d / demonstrate-01))))))

# ::snt from somewhere out of sight there now sounded an incident or accident involving a stepladder a large dustbin and a pile of sacks of oatmeal
# ::tok from somewhere out of sight there now sounded an incident or accident involving a stepladder a large dustbin and a pile of sacks of oatmeal
# ::alignments 20-21|0.0.1 18-19|0.0 16-17|0.1.0.0 12-13|0.1.0 11-12|0.1.2 10-11|0.1 9-10|0.1.1 7-8|0 6-7|0.3 4-5|0.0.0 1-2|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:54.848
# ::node	0	sound-01	7-8
# ::node	0.0	and	18-19
# ::node	0.0.0	sight-01	4-5
# ::node	0.0.1	pile	20-21
# ::node	0.1	or	10-11
# ::node	0.1.0	involve-01	12-13
# ::node	0.1.0.0	large	16-17
# ::node	0.1.1	incident	9-10
# ::node	0.1.2	accident	11-12
# ::node	0.2	somewhere	1-2
# ::node	0.3	now	6-7
# ::root	0	sound-01
# ::edge	and	op1	pile	0.0	0.0.1	
# ::edge	involve-01	ARG0	or	0.1.0	0.1	
# ::edge	involve-01	ARG1	large	0.1.0	0.1.0.0	
# ::edge	or	op1	incident	0.1	0.1.1	
# ::edge	or	op2	accident	0.1	0.1.2	
# ::edge	sight-01	ARG0	and	0.0.0	0.0	
# ::edge	sound-01	ARG0	and	0	0.0	
# ::edge	sound-01	ARG1	or	0	0.1	
# ::edge	sound-01	location	somewhere	0	0.2	
# ::edge	sound-01	time	now	0	0.3	
(s / sound-01 
      :ARG0 (a / and 
            :ARG0-of (s2 / sight-01) 
            :op1 (p / pile)) 
      :ARG1 (o / or 
            :ARG0-of (i / involve-01 
                  :ARG1 (l / large)) 
            :op1 (i2 / incident) 
            :op2 (a2 / accident)) 
      :location (s3 / somewhere) 
      :time (n / now))

# ::snt what have you got in your sack jeffrey called agatha
# ::tok what have you got in your sack jeffrey called agatha
# ::alignments 2-3|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:54.854
# ::node	0	you	2-3
# ::root	0	you
(y / you)

# ::snt reading the third division side offering 60000 a year to fill the seat vacated by ian branfoots sacking yesterday announced that they were sifting through 40 serious applications from the 200 received
# ::tok reading the third division side offering 60000 a year to fill the seat vacated by ian branfoots sacking yesterday announced that they were sifting through 40 serious applications from the 200 received
# ::alignments 31-32|0.1.0.0.0 30-31|0.0 27-28|0.1.0.0 26-27|0.1.0.0.2 25-26|0.1.0.1.0.0.0 21-22|0.1.0.0.1.0 19-20|0.1.0.0.1 18-19|0.1.0.0.1.1 13-14|0 12-13|0.1 10-11|0.1.0 8-9|0.1.0.1.1 6-7|0.1.0.0.0.0 5-6|0.1.0.1 4-5|0.1.0.1.0 3-4|0.1.0.1.0.1 0-1|0.1.0.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:55.315
# ::node	0	vacate-01	13-14
# ::node	0.0	200	30-31
# ::node	0.1	seat	12-13
# ::node	0.1.0	fill-02	10-11
# ::node	0.1.0.0	application	27-28
# ::node	0.1.0.0.0	receive-01	31-32
# ::node	0.1.0.0.0.0	60000	6-7
# ::node	0.1.0.0.1	announce-01	19-20
# ::node	0.1.0.0.1.0	they	21-22
# ::node	0.1.0.0.1.1	yesterday	18-19
# ::node	0.1.0.0.2	serious	26-27
# ::node	0.1.0.1	offer-01	5-6
# ::node	0.1.0.1.0	side	4-5
# ::node	0.1.0.1.0.0	read-01	0-1
# ::node	0.1.0.1.0.0.0	40	25-26
# ::node	0.1.0.1.0.1	division	3-4
# ::node	0.1.0.1.1	year	8-9
# ::root	0	vacate-01
# ::edge	announce-01	ARG0	they	0.1.0.0.1	0.1.0.0.1.0	
# ::edge	announce-01	ARG1	application	0.1.0.0.1	0.1.0.0	
# ::edge	announce-01	time	yesterday	0.1.0.0.1	0.1.0.0.1.1	
# ::edge	application	mod	serious	0.1.0.0	0.1.0.0.2	
# ::edge	fill-02	ARG0	application	0.1.0	0.1.0.0	
# ::edge	fill-02	ARG1	seat	0.1.0	0.1	
