# ::snt labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::tok labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::alignments 40-41|0.1.0.3.1 39-40|0.1.0.3.1.0 36-37|0.1.0.3 35-36|0.1.0.3.2 32-33|0.1.0.3.0 30-31|0.1.0.0.0.0 29-30|0.1.0.0.0 28-29|0.1.0.0.1.0 25-26|0.1.0.0.1 23-24|0.1.1 22-23|0 20-21|0.1 19-20|0.1.0.1 18-19|0.1.0 17-18|0.1.0.0.2 15-16|0.1.0.0 11-12|0.1.0.2 9-10|0.1.0.2.0 8-9|0.0.2.0 7-8|0.0.2 3-4|0.0.1.0 2-3|0.0.1 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:01.262
# ::node	0	and	22-23
# ::node	0.0	and	1-2
# ::node	0.0.0	labour	0-1
# ::node	0.0.1	liberal	2-3
# ::node	0.0.1.0	county	3-4
# ::node	0.0.2	spend-01	7-8
# ::node	0.0.2.0	level	8-9
# ::node	0.1	or	20-21
# ::node	0.1.0	consider-01	18-19
# ::node	0.1.0.0	department	15-16
# ::node	0.1.0.0.0	propose-01	29-30
# ::node	0.1.0.0.0.0	year	30-31
# ::node	0.1.0.0.1	exceed-01	25-26
# ::node	0.1.0.0.1.0	budget	28-29
# ::node	0.1.0.0.2	environment	17-18
# ::node	0.1.0.1	reasonable	19-20
# ::node	0.1.0.2	exceed-01	11-12
# ::node	0.1.0.2.0	far	9-10
# ::node	0.1.0.3	group	36-37
# ::node	0.1.0.3.0	year	32-33
# ::node	0.1.0.3.1	council	40-41
# ::node	0.1.0.3.1.0	county	39-40
# ::node	0.1.0.3.2	conservative	35-36
# ::node	0.1.1	far	23-24
# ::root	0	and
(a / and 
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt we save too little therefore we spend too much runs the argument the overspending is the exact counterpart of the excess of imports over exports
# ::tok we save too little therefore we spend too much runs the argument the overspending is the exact counterpart of the excess of imports over exports
# ::alignments 24-25|0.0.0 22-23|0.0.0.0 20-21|0.0.0.0.1 17-18|0.0 16-17|0.0.1 11-12|0 8-9|0.0.0.0.0.0.0.1 7-8|0.0.0.0.0.0.0.1.0 6-7|0.0.0.0.0.0.0 5-6|0.0.0.0.0.0.0.0 3-4|0.0.0.0.0.1.0 2-3|0.0.0.0.0.1 1-2|0.0.0.0.0 0-1|0.0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:06.901
# ::node	0	argue-01	11-12
# ::node	0.0	country	17-18
# ::node	0.0.0	export-01	24-25
# ::node	0.0.0.0	import-01	22-23
# ::node	0.0.0.0.0	save-02	1-2
# ::node	0.0.0.0.0.0	we	0-1
# ::node	0.0.0.0.0.0.0	spend-01	6-7
# ::node	0.0.0.0.0.0.0.0	we	5-6
# ::node	0.0.0.0.0.0.0.1	much	8-9
# ::node	0.0.0.0.0.0.0.1.0	too	7-8
# ::node	0.0.0.0.0.1	too	2-3
# ::node	0.0.0.0.0.1.0	little	3-4
# ::node	0.0.0.0.1	exceed-01	20-21
# ::node	0.0.1	exact	16-17
# ::root	0	argue-01
# ::edge	argue-01	ARG1	country	0	0.0	
# ::edge	country	mod	exact	0.0	0.0.1	
# ::edge	exceed-01	ARG1	import-01	0.0.0.0.1	0.0.0.0	
# ::edge	export-01	ARG0	country	0.0.0	0.0	
# ::edge	import-01	ARG1	save-02	0.0.0.0	0.0.0.0.0	
# ::edge	import-01	ARG2	export-01	0.0.0.0	0.0.0	
# ::edge	little	degree	too	0.0.0.0.0.1.0	0.0.0.0.0.1	
# ::edge	much	degree	too	0.0.0.0.0.0.0.1	0.0.0.0.0.0.0.1.0	
# ::edge	save-02	ARG0	we	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	save-02	ARG1	too	0.0.0.0.0	0.0.0.0.0.1	
# ::edge	spend-01	ARG0	we	0.0.0.0.0.0.0	0.0.0.0.0.0.0.0	
# ::edge	spend-01	ARG1	we	0.0.0.0.0.0.0	0.0.0.0.0.0	
# ::edge	spend-01	ARG2	much	0.0.0.0.0.0.0	0.0.0.0.0.0.0.1	
(a / argue-01 
      :ARG1 (c / country 
            :ARG0-of (e / export-01 
                  :ARG2-of (i / import-01 
                        :ARG1 (s2 / save-02 
                              :ARG0 (w2 / we 
                                    :ARG1-of (s / spend-01 
                                          :ARG0 (w / we) 
                                          :ARG2 (m / much 
                                                :degree (t / too)))) 
                              :ARG1 (t2 / too 
                                    :degree-of (l / little))) 
                        :ARG1-of (e2 / exceed-01))) 
            :mod (e3 / exact)))

# ::snt even a moderate expansion of nuclear power in third world countries as a substitute for coalfired power stations would cost in excess of 50 billion per year, the total public spending on electricity in such countries is currently only 7 billion per year and the total annual debt repayments on their loans from the industrialised nations are in excess of 50 billion per year
# ::tok even a moderate expansion of nuclear power in third world countries as a substitute for coalfired power stations would cost in excess of 50 billion per year , the total public spending on electricity in such countries is currently only 7 billion per year and the total annual debt repayments on their loans from the industrialised nations are in excess of 50 billion per year
# ::alignments 64-65|0.1.0 61-62|0.0.1.1.0.0.1.0 59-60|0.1 56-57|0.0.1.1.0.0.1.1 52-53|0.0.1.1.0.0.1 48-49|0.0.1.1.0.0.1.2 44-45|0 43-44|0.0.0 40-41|0.0.1.0 39-40|0.0.1.1.0.0.5.0 38-39|0.0.1.1.0.0.5 36-37|0.0.1.1.0.0.0.0 35-36|0.0.1.1.0.0.0.0.0 33-34|0.0.1.1.0.0.0 31-32|0.0.1.1.0.0 30-31|0.0.1.1.0.0.2 26-27|0.0.1.1.0.0.4 23-24|0.0.1.1.0.1.0.0 21-22|0.0.1 19-20|0.0 17-18|0.0.1.1.1 16-17|0.0.1.1.1.0 13-14|0.0.1.1 10-11|0.0.1.1.0 9-10|0.0.1.1.0.0.3 6-7|0.0.1.1.0.1 5-6|0.0.1.1.0.1.1 3-4|0.0.1.1.0.1.0 2-3|0.0.1.1.0.1.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:07.896
# ::node	0	and	44-45
# ::node	0.0	cost-01	19-20
# ::node	0.0.0	year	43-44
# ::node	0.0.1	exceed-01	21-22
# ::node	0.0.1.0	7	40-41
# ::node	0.0.1.1	substitute-01	13-14
# ::node	0.0.1.1.0	country	10-11
# ::node	0.0.1.1.0.0	spend-01	31-32
# ::node	0.0.1.1.0.0.0	electricity	33-34
# ::node	0.0.1.1.0.0.0.0	country	36-37
# ::node	0.0.1.1.0.0.0.0.0	such	35-36
# ::node	0.0.1.1.0.0.1	loan-01	52-53
# ::node	0.0.1.1.0.0.1.0	50	61-62
# ::node	0.0.1.1.0.0.1.1	nation	56-57
# ::node	0.0.1.1.0.0.1.2	debt	48-49
# ::node	0.0.1.1.0.0.2	public	30-31
# ::node	0.0.1.1.0.0.3	world	9-10
# ::node	0.0.1.1.0.0.4	year	26-27
# ::node	0.0.1.1.0.0.5	current	38-39
# ::node	0.0.1.1.0.0.5.0	only	39-40
# ::node	0.0.1.1.0.1	power	6-7
# ::node	0.0.1.1.0.1.0	expand-01	3-4
# ::node	0.0.1.1.0.1.0.0	50	23-24
# ::node	0.0.1.1.0.1.0.1	moderate	2-3
# ::node	0.0.1.1.0.1.1	nucleus	5-6
# ::node	0.0.1.1.1	station	17-18
# ::node	0.0.1.1.1.0	power	16-17
# ::node	0.1	exceed-01	59-60
# ::node	0.1.0	year	64-65
# ::root	0	and
# ::edge	and	op1	exceed-01	0	0.1	
# ::edge	cost-01	ARG0	year	0.0	0.0.0	
# ::edge	cost-01	ARG1	exceed-01	0.0	0.0.1	
# ::edge	cost-01	ARG2	and	0.0	0	
# ::edge	country	mod	such	0.0.1.1.0.0.0.0	0.0.1.1.0.0.0.0.0	
# ::edge	current	op1	spend-01	0.0.1.1.0.0.5	0.0.1.1.0.0	
# ::edge	debt	purpose	loan-01	0.0.1.1.0.0.1.2	0.0.1.1.0.0.1	
# ::edge	electricity	poss	country	0.0.1.1.0.0.0	0.0.1.1.0.0.0.0	
# ::edge	exceed-01	ARG0	7	0.0.1	0.0.1.0	
# ::edge	exceed-01	ARG1	year	0.1	0.1.0	
# ::edge	expand-01	ARG0	50	0.0.1.1.0.1.0	0.0.1.1.0.1.0.0	
# ::edge	expand-01	ARG1	power	0.0.1.1.0.1.0	0.0.1.1.0.1	
# ::edge	expand-01	manner	moderate	0.0.1.1.0.1.0	0.0.1.1.0.1.0.1	
# ::edge	loan-01	ARG0	50	0.0.1.1.0.0.1	0.0.1.1.0.0.1.0	
# ::edge	loan-01	ARG1	spend-01	0.0.1.1.0.0.1	0.0.1.1.0.0	
# ::edge	loan-01	ARG2	nation	0.0.1.1.0.0.1	0.0.1.1.0.0.1.1	
# ::edge	only	mod	current	0.0.1.1.0.0.5.0	0.0.1.1.0.0.5	
# ::edge	power	mod	nucleus	0.0.1.1.0.1	0.0.1.1.0.1.1	
# ::edge	power	poss	country	0.0.1.1.0.1	0.0.1.1.0	
# ::edge	spend-01	ARG0	country	0.0.1.1.0.0	0.0.1.1.0	
# ::edge	spend-01	ARG1	electricity	0.0.1.1.0.0	0.0.1.1.0.0.0	
# ::edge	spend-01	mod	public	0.0.1.1.0.0	0.0.1.1.0.0.2	
# ::edge	spend-01	mod	world	0.0.1.1.0.0	0.0.1.1.0.0.3	
# ::edge	station	mod	power	0.0.1.1.1	0.0.1.1.1.0	
# ::edge	substitute-01	ARG0	country	0.0.1.1	0.0.1.1.0	
# ::edge	substitute-01	ARG1	exceed-01	0.0.1.1	0.0.1	
# ::edge	substitute-01	ARG2	station	0.0.1.1	0.0.1.1.1	
# ::edge	year	mod	spend-01	0.0.1.1.0.0.4	0.0.1.1.0.0	
(a / and 
      :ARG2-of (c3 / cost-01 
            :ARG0 (y2 / year) 
            :ARG1 (e3 / exceed-01 
                  :ARG0 7 
                  :ARG1-of (s4 / substitute-01 
                        :ARG0 (c4 / country 
                              :ARG0-of (s2 / spend-01 
                                    :ARG1 (e2 / electricity 
                                          :poss (c2 / country 
                                                :mod (s / such))) 
                                    :ARG1-of (l / loan-01 
                                          :ARG0 50 
                                          :ARG2 (n / nation) 
                                          :purpose-of (d / debt)) 
                                    :mod (p / public) 
                                    :mod (w / world) 
                                    :mod-of (y3 / year) 
                                    :op-of (c / current 
                                          :mod-of (o / only))) 
                              :poss-of (p3 / power 
                                    :ARG1-of (e4 / expand-01 
                                          :ARG0 50 
                                          :manner (m / moderate)) 
                                    :mod (n2 / nucleus))) 
                        :ARG2 (s3 / station 
                              :mod (p2 / power))))) 
      :op1 (e / exceed-01 
            :ARG1 (y / year)))

# ::snt over 30 days this  is 30 x 500  15000 calories in excess
# ::tok over 30 days this is 30 x 500 15000 calories in excess
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:07.898
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt it is a wellknown fact that for many people christmas equals excess
# ::tok it is a wellknown fact that for many people christmas equals excess
# ::alignments 11-12|0.1 10-11|0 7-8|0.2 4-5|0.1.0 0-1|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:07.948
# ::node	0	equal-01	10-11
# ::node	0.0	it	0-1
# ::node	0.1	exceed-01	11-12
# ::node	0.1.0	fact	4-5
# ::node	0.2	many	7-8
# ::root	0	equal-01
# ::edge	equal-01	ARG1	it	0	0.0	
# ::edge	equal-01	ARG2	exceed-01	0	0.1	
# ::edge	equal-01	mod	many	0	0.2	
# ::edge	exceed-01	ARG0	fact	0.1	0.1.0	
(e2 / equal-01 
      :ARG1 (i / it) 
      :ARG2 (e / exceed-01 
            :ARG0 (f / fact)) 
      :mod (m / many))

# ::snt the east german delegation said its true that there were some cases but that it was due more to police excesses which were later condemned and that it was not organised torture the committee chairman joseph voyame said
# ::tok the east german delegation said its true that there were some cases but that it was due more to police excesses which were later condemned and that it was not organised torture the committee chairman joseph voyame said
# ::alignments 37-38|0.1.2.2.1 34-35|0.1.2.2.0.1+0.1.2.2.0 33-34|0.1.2.2.0.0 31-32|0.1.2.2 30-31|0.1.2 27-28|0.1.2.1 25-26|0.1 24-25|0.1.1 23-24|0.1.1.0 19-20|0.1.2.2.1.0 14-15|0.1.2.0 12-13|0.1.0 11-12|0.1.0.0 10-11|0.1.0.0.0 6-7|0.1.0.1 4-5|0 3-4|0.0 1-2|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:08.823
# ::node	0	say-01	4-5
# ::node	0.0	delegation	3-4
# ::node	0.0.0	east	1-2
# ::node	0.1	and	25-26
# ::node	0.1.0	contrast-01	12-13
# ::node	0.1.0.0	case	11-12
# ::node	0.1.0.0.0	some	10-11
# ::node	0.1.0.1	true	6-7
# ::node	0.1.1	condemn-01	24-25
# ::node	0.1.1.0	late	23-24
# ::node	0.1.2	organize-01	30-31
# ::node	0.1.2.0	it	14-15
# ::node	0.1.2.1	it	27-28
# ::node	0.1.2.2	torture-01	31-32
# ::node	0.1.2.2.0	have-org-role-91	34-35
# ::node	0.1.2.2.0.0	committee	33-34
# ::node	0.1.2.2.0.1	chairman	34-35
# ::node	0.1.2.2.1	say-01	37-38
# ::node	0.1.2.2.1.0	police	19-20
# ::root	0	say-01
# ::edge	and	op1	condemn-01	0.1	0.1.1	
# ::edge	and	op2	organize-01	0.1	0.1.2	
# ::edge	case	quant	some	0.1.0.0	0.1.0.0.0	
# ::edge	condemn-01	time	late	0.1.1	0.1.1.0	
# ::edge	contrast-01	ARG1	case	0.1.0	0.1.0.0	
# ::edge	contrast-01	ARG2	and	0.1.0	0.1	
# ::edge	delegation	mod	east	0.0	0.0.0	
# ::edge	have-org-role-91	ARG1	committee	0.1.2.2.0	0.1.2.2.0.0	
# ::edge	have-org-role-91	ARG2	chairman	0.1.2.2.0	0.1.2.2.0.1	
# ::edge	organize-01	ARG0	it	0.1.2	0.1.2.0	
# ::edge	organize-01	ARG1	it	0.1.2	0.1.2.1	
# ::edge	organize-01	ARG2	torture-01	0.1.2	0.1.2.2	
# ::edge	say-01	ARG0	delegation	0	0.0	
# ::edge	say-01	ARG0	police	0.1.2.2.1	0.1.2.2.1.0	
# ::edge	say-01	ARG1	and	0	0.1	
# ::edge	say-01	time	torture-01	0.1.2.2.1	0.1.2.2	
# ::edge	torture-01	ARG1	have-org-role-91	0.1.2.2	0.1.2.2.0	
# ::edge	true	domain	contrast-01	0.1.0.1	0.1.0	
(s3 / say-01 
      :ARG0 (d / delegation 
            :mod (e / east)) 
      :ARG1 (a / and 
            :ARG2-of (c4 / contrast-01 
                  :ARG1 (c5 / case 
                        :quant (s2 / some)) 
                  :domain-of (t2 / true)) 
            :op1 (c3 / condemn-01 
                  :time (l / late)) 
            :op2 (o / organize-01 
                  :ARG0 (i2 / it) 
                  :ARG1 (i / it) 
                  :ARG2 (t / torture-01 
                        :ARG1 (h / have-org-role-91 
                              :ARG1 (c2 / committee) 
                              :ARG2 (c / chairman)) 
                        :time-of (s / say-01 
                              :ARG0 (p / police))))))

# ::snt average council rent increases of 10 per cent well in excess of inflation were announced for the 4
# ::tok average council rent increases of 10 per cent well in excess of inflation were announced for the 4
# ::alignments 17-18|0.0.0 14-15|0 12-13|0.1.1 10-11|0.1 8-9|0.1.2 7-8|0.0.1.0+0.0.1 5-6|0.1.0 3-4|0.0 2-3|0.0.2 1-2|0.0.2.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:09.083
# ::node	0	announce-01	14-15
# ::node	0.0	increase-01	3-4
# ::node	0.0.0	4	17-18
# ::node	0.0.1	monetary-quantity	7-8
# ::node	0.0.1.0	cent	7-8
# ::node	0.0.2	rent-01	2-3
# ::node	0.0.2.0	council	1-2
# ::node	0.1	exceed-01	10-11
# ::node	0.1.0	10	5-6
# ::node	0.1.1	inflation	12-13
# ::node	0.1.2	well	8-9
# ::root	0	announce-01
# ::edge	announce-01	ARG1	increase-01	0	0.0	
# ::edge	exceed-01	ARG0	10	0.1	0.1.0	
# ::edge	exceed-01	ARG1	inflation	0.1	0.1.1	
# ::edge	exceed-01	purpose	announce-01	0.1	0	
# ::edge	exceed-01	time	well	0.1	0.1.2	
# ::edge	increase-01	ARG0	4	0.0	0.0.0	
# ::edge	increase-01	ARG1	monetary-quantity	0.0	0.0.1	
# ::edge	increase-01	ARG2	rent-01	0.0	0.0.2	
# ::edge	monetary-quantity	unit	cent	0.0.1	0.0.1.0	
# ::edge	rent-01	ARG1	council	0.0.2	0.0.2.0	
(a / announce-01 
      :ARG1 (i2 / increase-01 
            :ARG0 4 
            :ARG1 (m / monetary-quantity 
                  :unit (c / cent)) 
            :ARG2 (r / rent-01 
                  :ARG1 (c2 / council))) 
      :purpose-of (e / exceed-01 
            :ARG0 10 
            :ARG1 (i / inflation) 
            :time (w / well)))

# ::snt what the hysteric needs to experience is sentimental and maternal feeling not sexual love whose sensual excesses fuel the flames of nervous disease
# ::tok what the hysteric needs to experience is sentimental and maternal feeling not sexual love whose sensual excesses fuel the flames of nervous disease
# ::alignments 22-23|0.0 21-22|0 17-18|0.1.0.0.0.0 13-14|0.1 12-13|0.1.1 10-11|0.1.0 8-9|0.1.0.0.1 7-8|0.1.0.1 5-6|0.1.0.0.0 3-4|0.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:09.491
# ::node	0	nervous-41	21-22
# ::node	0.0	disease	22-23
# ::node	0.1	love-01	13-14
# ::node	0.1.0	feel-01	10-11
# ::node	0.1.0.0	need-01	3-4
# ::node	0.1.0.0.0	experience-01	5-6
# ::node	0.1.0.0.0.0	fuel	17-18
# ::node	0.1.0.0.1	and	8-9
# ::node	0.1.0.1	sentimental	7-8
# ::node	0.1.1	sexual	12-13
# ::root	0	nervous-41
# ::edge	and	op1	need-01	0.1.0.0.1	0.1.0.0	
# ::edge	experience-01	ARG1	fuel	0.1.0.0.0	0.1.0.0.0.0	
# ::edge	feel-01	ARG0	need-01	0.1.0	0.1.0.0	
# ::edge	feel-01	ARG1	love-01	0.1.0	0.1	
# ::edge	love-01	ARG1	nervous-41	0.1	0	
# ::edge	love-01	manner	sexual	0.1	0.1.1	
# ::edge	need-01	ARG1	experience-01	0.1.0.0	0.1.0.0.0	
# ::edge	nervous-41	ARG0	disease	0	0.0	
# ::edge	sentimental	domain	feel-01	0.1.0.1	0.1.0	
(n / nervous-41 
      :ARG0 (d / disease) 
      :ARG1-of (l / love-01 
            :ARG1-of (f2 / feel-01 
                  :ARG0 (n2 / need-01 
                        :ARG1 (e / experience-01 
                              :ARG1 (f / fuel)) 
                        :op-of (a / and)) 
                  :domain-of (s2 / sentimental)) 
            :manner (s / sexual)))

# ::snt   the reorganisation is seen as a last chance for the press to avoid legislation to control its excesses
# ::tok the reorganisation is seen as a last chance for the press to avoid legislation to control its excesses
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:09.492
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt her gentleness overruled the excesses of passion which i was liable to commit upon this saintly woman
# ::tok her gentleness overruled the excesses of passion which i was liable to commit upon this saintly woman
# ::alignments 16-17|0 14-15|0.1 12-13|0.0 10-11|0.0.0 8-9|0.0.0.1 6-7|0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:09.533
# ::node	0	woman	16-17
# ::node	0.0	commit-02	12-13
# ::node	0.0.0	liable-41	10-11
# ::node	0.0.0.0	passion	6-7
# ::node	0.0.0.1	i	8-9
# ::node	0.1	this	14-15
# ::root	0	woman
# ::edge	commit-02	location	woman	0.0	0	
# ::edge	liable-41	ARG0	passion	0.0.0	0.0.0.0	
# ::edge	liable-41	ARG1	commit-02	0.0.0	0.0	
# ::edge	liable-41	domain	i	0.0.0	0.0.0.1	
# ::edge	woman	mod	this	0	0.1	
(w / woman 
      :location-of (c / commit-02 
            :ARG1-of (l / liable-41 
                  :ARG0 (p / passion) 
                  :domain (i / i))) 
      :mod (t / this))

# ::snt a reference to the excesses of the pol pot regime
# ::tok a reference to the excesses of the pol pot regime
# ::alignments 9-10|0.0 8-9|0.0.0 1-2|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:09.547
# ::node	0	reference-01	1-2
# ::node	0.0	regime	9-10
# ::node	0.0.0	pot	8-9
# ::root	0	reference-01
# ::edge	pot	part	regime	0.0.0	0.0	
# ::edge	reference-01	ARG1	regime	0	0.0	
(r2 / reference-01 
      :ARG1 (r / regime 
            :part-of (p / pot)))

# ::snt even so the prime underwriting rates are expected to be considerably in excess of the 0
# ::tok even so the prime underwriting rates are expected to be considerably in excess of the 0
# ::alignments 15-16|0.2.0 12-13|0.2 10-11|0.2.1 7-8|0 5-6|0.0 3-4|0.0.0 1-2|0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:09.632
# ::node	0	expect-01	7-8
# ::node	0.0	rate	5-6
# ::node	0.0.0	prime	3-4
# ::node	0.1	so	1-2
# ::node	0.2	exceed-01	12-13
# ::node	0.2.0	0	15-16
# ::node	0.2.1	considerable	10-11
# ::root	0	expect-01
# ::edge	exceed-01	ARG0	0	0.2	0.2.0	
# ::edge	exceed-01	time	considerable	0.2	0.2.1	
# ::edge	expect-01	ARG1	rate	0	0.0	
# ::edge	expect-01	purpose	exceed-01	0	0.2	
# ::edge	rate	mod	prime	0.0	0.0.0	
# ::edge	so	op1	expect-01	0.1	0	
(e2 / expect-01 
      :ARG1 (r / rate 
            :mod (p / prime)) 
      :op-of (s / so) 
      :purpose (e / exceed-01 
            :ARG0 0 
            :time (c / considerable)))

# ::snt but his work is also characterised by honesty and integrity and this has saved him from excess
# ::tok but his work is also characterised by honesty and integrity and this has saved him from excess
# ::alignments 16-17|0.0.2.1 13-14|0.0.2 11-12|0.0.2.0 10-11|0.0 9-10|0.0.1 8-9|0.0.2.2 7-8|0.0.0 4-5|0.0.2.1.0 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:09.680
# ::node	0	contrast-01	0-1
# ::node	0.0	and	10-11
# ::node	0.0.0	honesty	7-8
# ::node	0.0.1	integrity	9-10
# ::node	0.0.2	save-02	13-14
# ::node	0.0.2.0	this	11-12
# ::node	0.0.2.1	exceed-01	16-17
# ::node	0.0.2.1.0	also	4-5
# ::node	0.0.2.2	and	8-9
# ::root	0	contrast-01
# ::edge	and	op1	honesty	0.0	0.0.0	
# ::edge	and	op1	save-02	0.0.2.2	0.0.2	
# ::edge	and	op2	integrity	0.0	0.0.1	
# ::edge	and	op3	save-02	0.0	0.0.2	
# ::edge	contrast-01	ARG2	and	0	0.0	
# ::edge	exceed-01	ARG1	also	0.0.2.1	0.0.2.1.0	
# ::edge	save-02	ARG0	this	0.0.2	0.0.2.0	
# ::edge	save-02	ARG2	exceed-01	0.0.2	0.0.2.1	
(c / contrast-01 
      :ARG2 (a / and 
            :op1 (h / honesty) 
            :op2 (i / integrity) 
            :op3 (s / save-02 
                  :ARG0 (t / this) 
                  :ARG2 (e / exceed-01 
                        :ARG1 (a3 / also)) 
                  :op-of (a2 / and))))

# ::snt after the histrionic architecture and the wilful decorative excesses of the 1980s silvestrins passionately cold aesthetic should match the architectural climate of the 1990s
# ::tok after the histrionic architecture and the wilful decorative excesses of the 1980s silvestrins passionately cold aesthetic should match the architectural climate of the 1990s
# ::alignments 23-24|0.0.0.1.1 20-21|0.0.0.1 17-18|0.0.0 16-17|0.0 14-15|0.0.0.1.0 13-14|0 11-12|0.0.1 4-5|0.0.0.0 0-1|0.0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:09.832
# ::node	0	passionate	13-14
# ::node	0.0	recommend-01	16-17
